        1.18        0.49        0.89
        1.19        0.48        0.88
        1.20        0.48        0.87
        1.21        0.47        0.86
        1.22        0.47        0.86
        1.23        0.47        0.85
        1.24        0.46        0.84
        1.25        0.46        0.84
        1.26        0.46        0.83
        1.27        0.45        0.83
        1.28        0.45        0.82
        1.29        0.45        0.82
        1.30        0.45        0.81
        1.31        0.44        0.81
        1.32        0.44        0.80
        1.33        0.44        0.80
        1.34        0.44        0.80
        1.35        0.43        0.79
        1.36        0.43        0.79
        1.37        0.43        0.78
        1.38        0.43        0.78
        1.40        0.42        0.77
        1.41        0.42        0.77
        1.42        0.42        0.77
        1.43        0.42        0.77
        1.44        0.42        0.77
        1.46        0.41        0.76
        1.47        0.41        0.76
        1.48        0.41        0.76
        1.49        0.41        0.76
        1.50        0.41        0.76
        1.51        0.41        0.76
        1.52        0.41        0.76
        1.53        0.41        0.76
        1.54        0.41        0.76
        1.55        0.41        0.76
        1.57        0.41        0.76
        1.58        0.41        0.76
        1.59        0.41        0.77
        1.60        0.41        0.77
        1.61        0.41        0.77
        1.62        0.42        0.78
        1.63        0.42        0.78
        1.64        0.42        0.79
        1.65        0.42        0.79
        1.66        0.42        0.80
        1.67        0.43        0.80
        1.68        0.43        0.81
        1.69        0.43        0.81
        1.70        0.43        0.82
        1.72        0.44        0.83
        1.73        0.44        0.83
        1.74        0.44        0.84
        1.75        0.45        0.85
        1.76        0.45        0.86
        1.77        0.46        0.87
        1.78        0.46        0.88
        1.79        0.47        0.89
        1.80        0.47        0.89
        1.81        0.47        0.90
        1.82        0.48        0.91
        1.83        0.48        0.92
        1.84        0.49        0.93
        1.85        0.49        0.94
        1.86        0.49        0.95
        1.87        0.50        0.95
        1.89        0.50        0.96
        1.90        0.50        0.97
        1.91        0.51        0.98
        1.92        0.51        0.99
        1.93        0.51        0.99
        1.94        0.52        1.00
        1.95        0.52        1.01
        1.96        0.52        1.01
        1.97        0.53        1.02
        1.98        0.53        1.02
        2.00        0.53        1.03
        2.01        0.54        1.04
        2.02        0.54        1.04
        2.03        0.54        1.05
        2.04        0.54        1.05
        2.05        0.55        1.06
        2.06        0.55        1.06
        2.07        0.55        1.07
        2.08        0.55        1.07
        2.09        0.56        1.08
        2.10        0.56        1.08
        2.11        0.56        1.08
        2.12        0.56        1.09
        2.14        0.56        1.09
        2.15        0.56        1.09
        2.16        0.56        1.10
        2.17        0.57        1.10
        2.18        0.57        1.10
        2.19        0.57        1.11
        2.20        0.57        1.11
        2.21        0.57        1.11
        2.22        0.57        1.12
        2.23        0.57        1.12
